ID,NAME,LAT,LONG,ELEVATION
1,Pcp1_Station,6.6,-0.1,75
2,Pcp2_Station,6.6,0.1,75
3,Pcp3_Station,6.9,0.1,75
4,Pcp4_Station,6.7,-0.4,75
5,Pcp5_Station,6.7,-0.1,159
6,Pcp6_Station,6.9,-0.4,98
7,Pcp7_Station,7.1,-0.2,126
8,Pcp8_Station,7.1,-0.5,149
9,Pcp9_Station,7.1,0.2,75
10,Pcp10_Station,7.1,-0.1,157
11,Pcp11_Station,7.2,-0.2,89
12,Pcp12_Station,7.2,0,85
13,Pcp13_Station,6.9,-0.7,109
14,Pcp14_Station,6.9,-0.7,109
15,Pcp15_Station,7,-0.6,183
16,Pcp16_Station,7,0.2,75
17,Pcp17_Station,6.8,-0.6,79
18,Pcp18_Station,6.8,0,75
19,Pcp19_Station,7,0,134
20,Pcp20_Station,6.9,-0.1,141
21,Pcp21_Station,6.8,-0.3,118
22,Pcp22_Station,6.9,-0.5,124
23,Pcp23_Station,7,-0.4,150
24,Pcp24_Station,6.67,0.75,594.7
25,Pcp25_Station,7.05,0.1,175.3
26,Pcp26_Station,6.83,0.33,152.5
27,Pcp27_Station,6.713,-0.625,160
28,Pcp28_Station,7.025,-0.625,170
29,Pcp29_Station,6.713,-0.313,84
30,Pcp30_Station,7.025,-0.313,153
31,Pcp31_Station,6.713,0,84
32,Pcp32_Station,7.025,0,146
